Order ID,Date,Product ID,Product Name,Product Category,Quantity,PPU,Amount,Customer ID,Region,City,Peak Hours
T000129,20-01-2025,PROD-007,USB-C Docking Station,Electronics,8,"2,50,000","20,00,000",Customer-024,Asia,Singapore,06:00 PM – 09:00 PM
T001647,31-10-2025,PROD-002,Wireless Mechanical Keyboard,Electronics,48,"3,50,000","1,68,00,000",Customer-016,Asia,Pune,06:00 PM – 09:00 PM
T001853,05-12-2025,PROD-003,27-inch 4K Monitor,Electronics,11,"12,00,000","1,32,00,000",Customer-016,Asia,Mumbai,06:00 PM – 09:00 PM
T000675,01-05-2025,PROD-004,Standing Desk Converter,Furniture,16,"5,00,000","80,00,000",Customer-111,Europe,London,12:00 PM – 03:00 PM
T001665,05-11-2025,PROD-002,Wireless Mechanical Keyboard,Electronics,43,"3,50,000","1,50,50,000",Customer-048,Asia,Mumbai,06:00 PM – 09:00 PM
T001982,30-12-2025,PROD-003,27-inch 4K Monitor,Electronics,42,"12,00,000","5,04,00,000",Customer-083,Asia,Chennai,06:00 PM – 09:00 PM
T001084,24-07-2025,PROD-010,Webcam 1080p HD,Electronics,42,"2,00,000","84,00,000",Customer-018,Asia,Bengaluru,06:00 PM – 09:00 PM
T001923,22-12-2025,PROD-007,USB-C Docking Station,Electronics,29,"2,50,000","72,50,000",Customer-085,North America,New York,06:00 PM – 09:00 PM
T000100,15-01-2025,PROD-001,Ergonomic Mesh Chair,Furniture,37,"4,50,000","1,66,50,000",Customer-014,Asia,Singapore,12:00 PM – 03:00 PM
T001180,14-08-2025,PROD-009,Adjustable Monitor Arm,Furniture,38,"1,80,000","68,40,000",Customer-013,Europe,London,12:00 PM – 03:00 PM
T000965,30-06-2025,PROD-007,USB-C Docking Station,Electronics,24,"2,50,000","60,00,000",Customer-097,Asia,Pune,06:00 PM – 09:00 PM
T000793,22-05-2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,10,"25,000","2,50,000",Customer-126,Asia,Mumbai,09:00 AM – 11:00 AM
T000030,03-01-2025,PROD-007,USB-C Docking Station,Electronics,130,"2,50,000","3,25,00,000",Customer-056,Asia,Bengaluru,06:00 PM – 09:00 PM
T000629,23-04-2025,PROD-003,27-inch 4K Monitor,Electronics,39,"12,00,000","4,68,00,000",Customer-116,Asia,Mumbai,06:00 PM – 09:00 PM
T000945,26-06-2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,36,"1,20,000","43,20,000",Customer-107,Europe,London,09:00 AM – 11:00 AM
T000573,16-04-2025,PROD-004,Standing Desk Converter,Furniture,17,"5,00,000","85,00,000",Customer-036,Asia,Dubai,12:00 PM – 03:00 PM
T000908,17-06-2025,PROD-005,Noise-Cancelling Headphones,Electronics,360,"9,50,000","34,20,00,000",Customer-135,Asia,Singapore,06:00 PM – 09:00 PM
T001081,23-07-2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,10,"25,000","2,50,000",Customer-008,Asia,Pune,09:00 AM – 11:00 AM
T000451,27-03-2025,PROD-001,Ergonomic Mesh Chair,Furniture,18,"4,50,000","81,00,000",Customer-008,Asia,Hyderabad,12:00 PM – 03:00 PM
T001610,29-10-2025,PROD-002,Wireless Mechanical Keyboard,Electronics,36,"3,50,000","1,26,00,000",Customer-021,Asia,Chennai,06:00 PM – 09:00 PM
T001291,08-09-2025,PROD-002,Wireless Mechanical Keyboard,Electronics,480,"3,50,000","16,80,00,000",Customer-064,Asia,Bengaluru,06:00 PM – 09:00 PM
T001079,23-07-2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,25,"25,000","6,25,000",Customer-059,Asia,Dubai,09:00 AM – 11:00 AM
T000255,13-02-2025,PROD-009,Adjustable Monitor Arm,Furniture,48,"1,80,000","86,40,000",Customer-086,Asia,Pune,12:00 PM – 03:00 PM
T000125,20-01-2025,PROD-002,Wireless Mechanical Keyboard,Electronics,30,"3,50,000","1,05,00,000",Customer-071,Asia,Mumbai,06:00 PM – 09:00 PM
T001928,22-12-2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,12,"25,000","3,00,000",Customer-022,Asia,Chennai,09:00 AM – 11:00 AM
T000252,13-02-2025,PROD-003,27-inch 4K Monitor,Electronics,10,"12,00,000","1,20,00,000",Customer-072,Europe,London,06:00 PM – 09:00 PM
T000586,17-04-2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,28,"1,20,000","33,60,000",Customer-147,Europe,London,09:00 AM – 11:00 AM
T001569,20-10-2025,PROD-002,Wireless Mechanical Keyboard,Electronics,33,"3,50,000","1,15,50,000",Customer-121,Asia,Mumbai,06:00 PM – 09:00 PM
T000825,04-06-2025,PROD-001,Ergonomic Mesh Chair,Furniture,46,"4,50,000","2,07,00,000",Customer-097,Asia,Bengaluru,12:00 PM – 03:00 PM
T000508,04-04-2025,PROD-009,Adjustable Monitor Arm,Furniture,8,"1,80,000","14,40,000",Customer-115,Asia,Delhi,12:00 PM – 03:00 PM
T000890,16-06-2025,PROD-010,Webcam 1080p HD,Electronics,43,"2,00,000","86,00,000",Customer-047,Asia,Dubai,06:00 PM – 09:00 PM
T000071,09-01-2025,PROD-009,Adjustable Monitor Arm,Furniture,44,"1,80,000","79,20,000",Customer-021,Asia,Tokyo,12:00 PM – 03:00 PM
T001609,29-10-2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,400,"1,20,000","4,80,00,000",Customer-116,North America,New York,09:00 AM – 11:00 AM
T001533,14-10-2025,PROD-007,USB-C Docking Station,Electronics,18,"2,50,000","45,00,000",Customer-002,Asia,Singapore,06:00 PM – 09:00 PM
T000248,11-02-2025,PROD-009,Adjustable Monitor Arm,Furniture,7,"1,80,000","12,60,000",Customer-003,Asia,Mumbai,12:00 PM – 03:00 PM
T001451,29-09-2025,PROD-004,Standing Desk Converter,Furniture,14,"5,00,000","70,00,000",Customer-138,Europe,London,12:00 PM – 03:00 PM
T000213,06-02-2025,PROD-002,Wireless Mechanical Keyboard,Electronics,8,"3,50,000","28,00,000",Customer-024,Asia,Bengaluru,06:00 PM – 09:00 PM
T000910,19-06-2025,PROD-007,USB-C Docking Station,Electronics,43,"2,50,000","1,07,50,000",Customer-056,Asia,Hyderabad,06:00 PM – 09:00 PM
T001742,18-11-2025,PROD-004,Standing Desk Converter,Furniture,20,"5,00,000","1,00,00,000",Customer-033,North America,New York,12:00 PM – 03:00 PM
T001245,26-08-2025,PROD-004,Standing Desk Converter,Furniture,15,"5,00,000","75,00,000",Customer-060,Asia,Hyderabad,12:00 PM – 03:00 PM
T001697,11-11-2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,41,"1,20,000","49,20,000",Customer-146,Asia,Delhi,09:00 AM – 11:00 AM
T001183,14-08-2025,PROD-007,USB-C Docking Station,Electronics,26,"2,50,000","65,00,000",Customer-080,Asia,Bengaluru,06:00 PM – 09:00 PM
T000362,11-03-2025,PROD-007,USB-C Docking Station,Electronics,36,"2,50,000","90,00,000",Customer-005,Asia,Hyderabad,06:00 PM – 09:00 PM
T001474,01-10-2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,14,"25,000","3,50,000",Customer-022,North America,New York,09:00 AM – 11:00 AM
T000679,01-05-2025,PROD-003,27-inch 4K Monitor,Electronics,15,"12,00,000","1,80,00,000",Customer-011,Asia,Bengaluru,06:00 PM – 09:00 PM
T001622,30-10-2025,PROD-010,Webcam 1080p HD,Electronics,32,"2,00,000","64,00,000",Customer-071,Asia,Tokyo,06:00 PM – 09:00 PM
T001090,24-07-2025,PROD-005,Noise-Cancelling Headphones,Electronics,230,"9,50,000","21,85,00,000",Customer-122,Asia,Pune,06:00 PM – 09:00 PM
T001988,31-12-2025,PROD-009,Adjustable Monitor Arm,Furniture,20,"1,80,000","36,00,000",Customer-013,Asia,Singapore,12:00 PM – 03:00 PM
T001848,04-12-2025,PROD-002,Wireless Mechanical Keyboard,Electronics,39,"3,50,000","1,36,50,000",Customer-148,North America,New York,06:00 PM – 09:00 PM
T000988,04-07-2025,PROD-010,Webcam 1080p HD,Electronics,40,"2,00,000","80,00,000",Customer-085,North America,New York,06:00 PM – 09:00 PM
T001513,10-10-2025,PROD-003,27-inch 4K Monitor,Electronics,7,"12,00,000","84,00,000",Customer-009,Asia,Mumbai,06:00 PM – 09:00 PM
T000112,16-01-2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,16,"1,20,000","19,20,000",Customer-123,Asia,Bengaluru,09:00 AM – 11:00 AM
T001488,07-10-2025,PROD-009,Adjustable Monitor Arm,Furniture,21,"1,80,000","37,80,000",Customer-011,Asia,Hyderabad,12:00 PM – 03:00 PM
T001454,30-09-2025,PROD-007,USB-C Docking Station,Electronics,36,"2,50,000","90,00,000",Customer-043,Asia,Kolkata,06:00 PM – 09:00 PM
T000384,13-03-2025,PROD-010,Webcam 1080p HD,Electronics,35,"2,00,000","70,00,000",Customer-046,Asia,Dubai,06:00 PM – 09:00 PM
T001396,23-09-2025,PROD-001,Ergonomic Mesh Chair,Furniture,38,"4,50,000","1,71,00,000",Customer-071,Asia,Kolkata,12:00 PM – 03:00 PM
T001055,16-07-2025,PROD-010,Webcam 1080p HD,Electronics,49,"2,00,000","98,00,000",Customer-080,Asia,Tokyo,06:00 PM – 09:00 PM
T000756,16-05-2025,PROD-002,Wireless Mechanical Keyboard,Electronics,33,"3,50,000","1,15,50,000",Customer-109,Asia,Pune,06:00 PM – 09:00 PM
T000325,05-03-2025,PROD-003,27-inch 4K Monitor,Electronics,300,"12,00,000","36,00,00,000",Customer-040,Asia,Hyderabad,06:00 PM – 09:00 PM
T001624,30-10-2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,36,"1,20,000","43,20,000",Customer-032,Asia,Singapore,09:00 AM – 11:00 AM
T000788,21-05-2025,PROD-005,Noise-Cancelling Headphones,Electronics,38,"9,50,000","3,61,00,000",Customer-095,Asia,Tokyo,06:00 PM – 09:00 PM
T000369,11-03-2025,PROD-005,Noise-Cancelling Headphones,Electronics,20,"9,50,000","1,90,00,000",Customer-054,Asia,Kolkata,06:00 PM – 09:00 PM
T001820,01-12-2025,PROD-002,Wireless Mechanical Keyboard,Electronics,30,"3,50,000","1,05,00,000",Customer-003,Asia,Delhi,06:00 PM – 09:00 PM
T000070,09-01-2025,PROD-002,Wireless Mechanical Keyboard,Electronics,21,"3,50,000","73,50,000",Customer-005,Europe,London,06:00 PM – 09:00 PM
T000858,09-06-2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,44,"1,20,000","52,80,000",Customer-019,Asia,Mumbai,09:00 AM – 11:00 AM
T001484,07-10-2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,47,"25,000","11,75,000",Customer-044,Europe,London,09:00 AM – 11:00 AM
T001556,17-10-2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,400,"1,20,000","4,80,00,000",Customer-144,Asia,Mumbai,09:00 AM – 11:00 AM
T001692,07-11-2025,PROD-007,USB-C Docking Station,Electronics,10,"2,50,000","25,00,000",Customer-023,North America,New York,06:00 PM – 09:00 PM
T001475,01-10-2025,PROD-009,Adjustable Monitor Arm,Furniture,48,"1,80,000","86,40,000",Customer-016,Asia,Delhi,12:00 PM – 03:00 PM
T001799,26-11-2025,PROD-007,USB-C Docking Station,Electronics,15,"2,50,000","37,50,000",Customer-112,Asia,Kolkata,06:00 PM – 09:00 PM
T000479,01-04-2025,PROD-010,Webcam 1080p HD,Electronics,13,"2,00,000","26,00,000",Customer-062,Asia,Hyderabad,06:00 PM – 09:00 PM
T000282,26-02-2025,PROD-003,27-inch 4K Monitor,Electronics,340,"12,00,000","40,80,00,000",Customer-093,Asia,Pune,06:00 PM – 09:00 PM
T001648,31-10-2025,PROD-010,Webcam 1080p HD,Electronics,41,"2,00,000","82,00,000",Customer-028,Asia,Pune,06:00 PM – 09:00 PM
T001557,17-10-2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,500,"1,20,000","6,00,00,000",Customer-047,Europe,London,09:00 AM – 11:00 AM
T001730,17-11-2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,32,"25,000","8,00,000",Customer-024,Asia,Chennai,09:00 AM – 11:00 AM
T000211,06-02-2025,PROD-001,Ergonomic Mesh Chair,Furniture,23,"4,50,000","1,03,50,000",Customer-103,Asia,Hyderabad,12:00 PM – 03:00 PM
T000298,28-02-2025,PROD-004,Standing Desk Converter,Furniture,400,"5,00,000","20,00,00,000",Customer-028,Asia,Kolkata,12:00 PM – 03:00 PM
T001885,12-12-2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,12,"1,20,000","14,40,000",Customer-030,Asia,Tokyo,09:00 AM – 11:00 AM
T001834,03-12-2025,PROD-005,Noise-Cancelling Headphones,Electronics,13,"9,50,000","1,23,50,000",Customer-113,Europe,London,06:00 PM – 09:00 PM
T000652,25-04-2025,PROD-002,Wireless Mechanical Keyboard,Electronics,15,"3,50,000","52,50,000",Customer-037,Asia,Singapore,06:00 PM – 09:00 PM
T001234,25-08-2025,PROD-001,Ergonomic Mesh Chair,Furniture,12,"4,50,000","54,00,000",Customer-003,Asia,Mumbai,12:00 PM – 03:00 PM
T001503,09-10-2025,PROD-007,USB-C Docking Station,Electronics,31,"2,50,000","77,50,000",Customer-099,Asia,Tokyo,06:00 PM – 09:00 PM
T001932,22-12-2025,PROD-009,Adjustable Monitor Arm,Furniture,450,"1,80,000","8,10,00,000",Customer-025,Asia,Hyderabad,12:00 PM – 03:00 PM
T000917,23-06-2025,PROD-009,Adjustable Monitor Arm,Furniture,210,"1,80,000","3,78,00,000",Customer-001,North America,New York,12:00 PM – 03:00 PM
T000994,04-07-2025,PROD-007,USB-C Docking Station,Electronics,31,"2,50,000","77,50,000",Customer-016,Asia,Kolkata,06:00 PM – 09:00 PM
T000430,25-03-2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,30,"25,000","7,50,000",Customer-070,Asia,Hyderabad,09:00 AM – 11:00 AM
T001371,18-09-2025,PROD-002,Wireless Mechanical Keyboard,Electronics,19,"3,50,000","66,50,000",Customer-093,Asia,Kolkata,06:00 PM – 09:00 PM
T000240,11-02-2025,PROD-010,Webcam 1080p HD,Electronics,26,"2,00,000","52,00,000",Customer-011,Asia,Dubai,06:00 PM – 09:00 PM
T000880,13-06-2025,PROD-003,27-inch 4K Monitor,Electronics,11,"12,00,000","1,32,00,000",Customer-067,Asia,Bengaluru,06:00 PM – 09:00 PM
T000621,22-04-2025,PROD-005,Noise-Cancelling Headphones,Electronics,44,"9,50,000","4,18,00,000",Customer-045,Asia,Hyderabad,06:00 PM – 09:00 PM
T000257,24-02-2025,PROD-010,Webcam 1080p HD,Electronics,34,"2,00,000","68,00,000",Customer-085,Asia,Kolkata,06:00 PM – 09:00 PM
T000612,22-04-2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,48,"25,000","12,00,000",Customer-087,Asia,Kolkata,09:00 AM – 11:00 AM
T000545,11-04-2025,PROD-009,Adjustable Monitor Arm,Furniture,42,"1,80,000","75,60,000",Customer-135,Europe,London,12:00 PM – 03:00 PM
T000772,19-05-2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,13,"25,000","3,25,000",Customer-037,Europe,London,09:00 AM – 11:00 AM
T001420,24-09-2025,PROD-004,Standing Desk Converter,Furniture,40,"5,00,000","2,00,00,000",Customer-023,Asia,Kolkata,12:00 PM – 03:00 PM
T001042,14-07-2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,23,"1,20,000","27,60,000",Customer-048,Asia,Hyderabad,09:00 AM – 11:00 AM
T001790,26-11-2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,370,"1,20,000","4,44,00,000",Customer-015,Asia,Bengaluru,09:00 AM – 11:00 AM
T000760,16-05-2025,PROD-005,Noise-Cancelling Headphones,Electronics,22,"9,50,000","2,09,00,000",Customer-026,Asia,Chennai,06:00 PM – 09:00 PM
T000383,12-03-2025,PROD-004,Standing Desk Converter,Furniture,46,"5,00,000","2,30,00,000",Customer-047,Asia,Pune,12:00 PM – 03:00 PM
T001104,25-07-2025,PROD-004,Standing Desk Converter,Furniture,41,"5,00,000","2,05,00,000",Customer-037,Asia,Dubai,12:00 PM – 03:00 PM
T000974,02-07-2025,PROD-005,Noise-Cancelling Headphones,Electronics,45,"9,50,000","4,27,50,000",Customer-073,Asia,Delhi,06:00 PM – 09:00 PM
T000353,10-03-2025,PROD-001,Ergonomic Mesh Chair,Furniture,38,"4,50,000","1,71,00,000",Customer-050,Asia,Mumbai,12:00 PM – 03:00 PM
T001606,24-10-2025,PROD-004,Standing Desk Converter,Furniture,44,"5,00,000","2,20,00,000",Customer-110,Asia,Chennai,12:00 PM – 03:00 PM
T001826,03-12-2025,PROD-001,Ergonomic Mesh Chair,Furniture,44,"4,50,000","1,98,00,000",Customer-120,North America,New York,12:00 PM – 03:00 PM
T001037,11-07-2025,PROD-003,27-inch 4K Monitor,Electronics,35,"12,00,000","4,20,00,000",Customer-086,Asia,Dubai,06:00 PM – 09:00 PM
T001108,25-07-2025,PROD-005,Noise-Cancelling Headphones,Electronics,25,"9,50,000","2,37,50,000",Customer-125,Asia,Kolkata,06:00 PM – 09:00 PM
T000495,03-04-2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,21,"25,000","5,25,000",Customer-098,Asia,Bengaluru,09:00 AM – 11:00 AM
T000394,13-03-2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,250,"25,000","62,50,000",Customer-064,North America,New York,09:00 AM – 11:00 AM
T001547,15-10-2025,PROD-002,Wireless Mechanical Keyboard,Electronics,7,"3,50,000","24,50,000",Customer-067,Asia,Tokyo,06:00 PM – 09:00 PM
T000465,31-03-2025,PROD-007,USB-C Docking Station,Electronics,25,"2,50,000","62,50,000",Customer-089,Asia,Hyderabad,06:00 PM – 09:00 PM
T000887,16-06-2025,PROD-010,Webcam 1080p HD,Electronics,5,"2,00,000","10,00,000",Customer-030,Asia,Pune,06:00 PM – 09:00 PM
T001194,15-08-2025,PROD-005,Noise-Cancelling Headphones,Electronics,39,"9,50,000","3,70,50,000",Customer-031,Asia,Kolkata,06:00 PM – 09:00 PM
T000367,11-03-2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,40,"1,20,000","48,00,000",Customer-110,Asia,Chennai,09:00 AM – 11:00 AM
T001894,16-12-2025,PROD-009,Adjustable Monitor Arm,Furniture,45,"1,80,000","81,00,000",Customer-019,Asia,Tokyo,12:00 PM – 03:00 PM
T001874,09-12-2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,41,"1,20,000","49,20,000",Customer-120,Asia,Pune,09:00 AM – 11:00 AM
T000745,15-05-2025,PROD-004,Standing Desk Converter,Furniture,48,"5,00,000","2,40,00,000",Customer-076,North America,New York,12:00 PM – 03:00 PM
T000530,08-04-2025,PROD-004,Standing Desk Converter,Furniture,8,"5,00,000","40,00,000",Customer-034,North America,New York,12:00 PM – 03:00 PM
T000803,28-05-2025,PROD-010,Webcam 1080p HD,Electronics,18,"2,00,000","36,00,000",Customer-146,Asia,Bengaluru,06:00 PM – 09:00 PM
T001224,25-08-2025,PROD-004,Standing Desk Converter,Furniture,26,"5,00,000","1,30,00,000",Customer-084,Europe,London,12:00 PM – 03:00 PM
T001979,30-12-2025,PROD-010,Webcam 1080p HD,Electronics,39,"2,00,000","78,00,000",Customer-137,Europe,London,06:00 PM – 09:00 PM
T001906,17-12-2025,PROD-010,Webcam 1080p HD,Electronics,21,"2,00,000","42,00,000",Customer-071,Asia,Mumbai,06:00 PM – 09:00 PM
T001700,11-11-2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,9,"25,000","2,25,000",Customer-126,Asia,Pune,09:00 AM – 11:00 AM
T001545,15-10-2025,PROD-001,Ergonomic Mesh Chair,Furniture,38,"4,50,000","1,71,00,000",Customer-118,Asia,Hyderabad,12:00 PM – 03:00 PM
T001314,10-09-2025,PROD-004,Standing Desk Converter,Furniture,50,"5,00,000","2,50,00,000",Customer-091,Asia,Bengaluru,12:00 PM – 03:00 PM
T000307,28-02-2025,PROD-002,Wireless Mechanical Keyboard,Electronics,47,"3,50,000","1,64,50,000",Customer-027,Asia,Chennai,06:00 PM – 09:00 PM
T001667,05-11-2025,PROD-004,Standing Desk Converter,Furniture,6,"5,00,000","30,00,000",Customer-056,Asia,Tokyo,12:00 PM – 03:00 PM
T000863,11-06-2025,PROD-002,Wireless Mechanical Keyboard,Electronics,14,"3,50,000","49,00,000",Customer-125,Asia,Tokyo,06:00 PM – 09:00 PM
T001567,20-10-2025,PROD-003,27-inch 4K Monitor,Electronics,6,"12,00,000","72,00,000",Customer-044,Asia,Tokyo,06:00 PM – 09:00 PM
T000531,08-04-2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,5,"25,000","1,25,000",Customer-007,Asia,Chennai,09:00 AM – 11:00 AM
T000655,28-04-2025,PROD-007,USB-C Docking Station,Electronics,12,"2,50,000","30,00,000",Customer-003,Asia,Tokyo,06:00 PM – 09:00 PM
T001260,27-08-2025,PROD-002,Wireless Mechanical Keyboard,Electronics,80,"3,50,000","2,80,00,000",Customer-055,Asia,Bengaluru,06:00 PM – 09:00 PM
T000234,10-02-2025,PROD-002,Wireless Mechanical Keyboard,Electronics,50,"3,50,000","1,75,00,000",Customer-070,Asia,Pune,06:00 PM – 09:00 PM
T000121,20-01-2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,48,"1,20,000","57,60,000",Customer-072,North America,New York,09:00 AM – 11:00 AM
T001698,11-11-2025,PROD-010,Webcam 1080p HD,Electronics,130,"2,00,000","2,60,00,000",Customer-117,Asia,Hyderabad,06:00 PM – 09:00 PM
T000950,26-06-2025,PROD-007,USB-C Docking Station,Electronics,24,"2,50,000","60,00,000",Customer-140,Asia,Pune,06:00 PM – 09:00 PM
T000618,22-04-2025,PROD-001,Ergonomic Mesh Chair,Furniture,33,"4,50,000","1,48,50,000",Customer-078,Europe,London,12:00 PM – 03:00 PM
T001179,13-08-2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,30,"1,20,000","36,00,000",Customer-047,Asia,Delhi,09:00 AM – 11:00 AM
T000308,28-02-2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,22,"25,000","5,50,000",Customer-055,Asia,Singapore,09:00 AM – 11:00 AM
T000136,21-01-2025,PROD-007,USB-C Docking Station,Electronics,50,"2,50,000","1,25,00,000",Customer-046,Asia,Tokyo,06:00 PM – 09:00 PM
T000555,15-04-2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,10,"25,000","2,50,000",Customer-073,Asia,Delhi,09:00 AM – 11:00 AM
T001674,06-11-2025,PROD-004,Standing Desk Converter,Furniture,390,"5,00,000","19,50,00,000",Customer-134,Asia,Delhi,12:00 PM – 03:00 PM
T000584,17-04-2025,PROD-006,A4 Printer Paper (500 Sheets),Office Supplies,340,"25,000","85,00,000",Customer-120,Asia,Kolkata,09:00 AM – 11:00 AM
T001641,31-10-2025,PROD-002,Wireless Mechanical Keyboard,Electronics,30,"3,50,000","1,05,00,000",Customer-076,Europe,London,06:00 PM – 09:00 PM
T000671,30-04-2025,PROD-002,Wireless Mechanical Keyboard,Electronics,35,"3,50,000","1,22,50,000",Customer-073,Asia,Bengaluru,06:00 PM – 09:00 PM
T000835,04-06-2025,PROD-007,USB-C Docking Station,Electronics,49,"2,50,000","1,22,50,000",Customer-009,Asia,Mumbai,06:00 PM – 09:00 PM
T000110,16-01-2025,PROD-009,Adjustable Monitor Arm,Furniture,30,"1,80,000","54,00,000",Customer-147,Asia,Pune,12:00 PM – 03:00 PM
T001165,12-08-2025,PROD-007,USB-C Docking Station,Electronics,11,"2,50,000","27,50,000",Customer-014,Asia,Mumbai,06:00 PM – 09:00 PM
T001960,25-12-2025,PROD-004,Standing Desk Converter,Furniture,26,"5,00,000","1,30,00,000",Customer-053,Asia,Dubai,12:00 PM – 03:00 PM
T001465,30-09-2025,PROD-003,27-inch 4K Monitor,Electronics,16,"12,00,000","1,92,00,000",Customer-083,Asia,Pune,06:00 PM – 09:00 PM
T001729,17-11-2025,PROD-008,Executive Ballpoint Pen Box,Office Supplies,33,"1,20,000","39,60,000",Customer-144,Asia,Dubai,09:00 AM – 11:00 AM
T001243,26-08-2025,PROD-001,Ergonomic Mesh Chair,Furniture,14,"4,50,000","63,00,000",Customer-102,Asia,Kolkata,12:00 PM – 03:00 PM
T000212,06-02-2025,PROD-004,Standing Desk Converter,Furniture,15,"5,00,000","75,00,000",Customer-125,Asia,Mumbai,12:00 PM – 03:00 PM
T001768,21-11-2025,PROD-002,Wireless Mechanical Keyboard,Electronics,49,"3,50,000","1,71,50,000",Customer-149,Asia,Kolkata,06:00 PM – 09:00 PM
T001121,30-07-2025,PROD-005,Noise-Cancelling Headphones,Electronics,26,"9,50,000","2,47,00,000",Customer-109,Asia,Singapore,06:00 PM – 09:00 PM
